fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251207 214845	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0107957710709333	0.899792703114349	1202	33	0.458207073006303	7.87315242380775	0.664676839305397	2098	41.4041970650513	61.2401111827937	61.2401111827937	78
20251207 214946	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0102432445069082	0.814822775707418	55	15	4.49272333562768	0.943174943194199	0.679619608946764	354	46.5952486586119	78.1443294347605	78.1443294347605	79
20251207 214956	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198150918522792	0.401655313063981	619	36	0.952106758968283	2.17180368984073	0.974280677520035	117	43.0892096099221	69.4108043544189	69.4108043544189	80
20251207 215015	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.195750489206903	0.899103681171158	1425	69	3.56441947994977	0.01129744754514	0.602197765485821	93	51.1986501661943	73.5341645137349	73.5341645137349	81
20251207 215040	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.189350424544993	0.856526338009787	1260	29	0.00844684137220364	9.99146071252481	0.627391695870709	94	44.7600667425182	65.0572241213707	65.0572241213707	82
20251207 221337	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0165880707122057	0.877468053082975	58	196	4.72392735549859	9.3040497515648	0.817050006685655	55061	66.2701667019917	112.413226128463	112.413226128463	83
20251207 221420	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0379097706531831	0.899733703819862	396	37	3.69883598164488	9.91407007660832	0.623445045006577	674	42.2408255419639	57.5082566714541	57.5082566714541	84
20251207 221550	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0113210911273481	0.883305965222203	1050	69	0.08022674355014	1.97712556858477	0.825237812571082	1827	50.794776300521	68.9060865867765	68.9060865867765	85
20251207 221624	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148311206484226	0.762652644730791	1242	37	0.554049317818231	9.97308333629813	0.998840737258073	209	46.0079253939121	65.5815573002311	65.5815573002311	86
20251207 221645	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.175422237151781	0.899301327985487	693	37	3.16362701254636	7.31448904497879	0.653517410365964	120	48.3593914614915	61.3147206815021	61.3147206815021	87
